id;question;extra;suspicious_status;suspicious_note
# >>>> Zero determiner (Нулевой) — Строгое отсутствие любого определителя.
# >>>> Articles (Артикли) — Указывают на определённость: a, an, the
# possessive: identification
290;This is [my:t.Possessive,s1] book.;Это моя книга.;0;
291;[My:t.Possessive,s1] car is very old.;Моя машина очень старая.;0;
292;[My:t.Possessive,s1] house is near the park.;Мой дом рядом с парком.;0;
293;[My:t.Possessive,s1] friend is waiting for me.;Мой друг ждёт меня.;0;
294;[My:t.Possessive,s1] phone is charging.;Мой телефон заряжается.;0;
295;[Your:t.Possessive,s2] efforts matter.;Ваши усилия важны.;0;
296;[Your:t.Possessive,s2] house is beautiful.;Ваш дом красивый.;0;
297;Where is [your:t.Possessive,s2] car?;Где ваша машина?;0;
298;[Your:t.Possessive,s2] kids are very polite.;Ваши дети очень вежливы.;0;
299;I like [your:t.Possessive,s2] idea.;Мне нравится ваша идея.;0;
300;[His:t.Possessive,s3m] dog is friendly.;Его собака дружелюбная.;0;
301;[His:t.Possessive,s3m] house is very big.;Его дом очень большой.;0;
302;I like [his:t.Possessive,s3m] car.;Мне нравится его машина.;0;
303;[His:t.Possessive,s3m] work is inspiring.;Его работа вдохновляющая.;0;
304;Where is [his:t.Possessive,s3m] book?;Где его книга?;0;
305;[Her:t.Possessive,s3f] ideas are brilliant.;Её идеи блестящие.;0;
306;[Her:t.Possessive,s3f] voice is beautiful.;Её голос прекрасен.;0;
307;[Her:t.Possessive,s3f] house is near the school.;Её дом рядом со школой.;0;
308;I like [her:t.Possessive,s3f] style.;Мне нравится её стиль.;0;
309;This is [her:t.Possessive,s3f] favorite color.;Это её любимый цвет.;0;
310;[Its:t.Possessive,s3n] color is vibrant.;Его цвет яркий.;0;
311;[Its:t.Possessive,s3n] size is perfect.;Его размер идеален.;0;
312;I like [its:t.Possessive,s3n] design.;Мне нравится его дизайн.;0;
313;[Its:t.Possessive,s3n] role is important.;Его роль важна.;0;
314;[Its:t.Possessive,s3n] sound is unique.;Его звук уникален.;0;
315;[Our:t.Possessive,p1] team is strong.;Наша команда сильная.;0;
316;[Our:t.Possessive,p1] house is on the corner.;Наш дом на углу.;0;
317;[Our:t.Possessive,p1] car is parked outside.;Наша машина припаркована снаружи.;0;
318;[Our:t.Possessive,p1] work is almost done.;Наша работа почти завершена.;0;
319;[Our:t.Possessive,p1] friends are coming over.;Наши друзья идут к нам.;0;
320;[Their:t.Possessive,p3] house is beautiful.;Их дом красивый.;0;
321;[Their:t.Possessive,p3] dog is very playful.;Их собака очень игривая.;0;
322;[Their:t.Possessive,p3] car is new.;Их машина новая.;0;
323;[Their:t.Possessive,p3] kids are at school.;Их дети в школе.;0;
324;I like [their:t.Possessive,p3] work.;Мне нравится их работа.;0;
325;I couldn't believe how quickly [my:t.Possessive,s1] plans changed after the unexpected news.;Я не мог поверить, как быстро мои планы изменились после неожиданной новости.;0;
326;After several revisions, [my:t.Possessive,s1] final decision turned out to be the best one.;После нескольких исправлений моё окончательное решение оказалось лучшим.;0;
327;The professor praised [my:t.Possessive,s1] work, saying it showed deep understanding of the topic.;Профессор похвалил мою работу, сказав, что она демонстрирует глубокое понимание темы.;0;
328;Without a doubt, [my:t.Possessive,s1] favorite way to relax is reading a good book in the evening.;Без сомнения, мой любимый способ расслабиться - это чтение хорошей книги вечером.;0;
329;If [my:t.Possessive,s1] calculations are correct, we should reach the destination in two hours.;Если мои расчёты верны, мы должны добраться до места назначения через два часа.;0;
330;After years of dedication, [my:t.Possessive,s1] hard work finally paid off.;После многих лет упорного труда моя работа наконец окупилась.;0;
331;Right after [my:t.Possessive,s1] presentation, the audience started asking questions.;Сразу после моей презентации аудитория начала задавать вопросы.;0;
332;By the time I arrived, [your:t.Possessive,s2] friends had already left for the airport.;К тому времени как я приехал, твои друзья уже уехали в аэропорт.;0;
333;Could you remind me where [your:t.Possessive,s2] office is located in this building?;Не мог бы ты напомнить мне, где находится твой офис в этом здании?;0;
334;No matter how hard you try, [your:t.Possessive,s2] efforts won't go unnoticed by the management.;Как бы ты ни старался, твои усилия не останутся незамеченными руководством.;0;
335;Despite the difficulties, [your:t.Possessive,s2] idea proved to be more effective than expected.;Несмотря на трудности, твоя идея оказалась более эффективной, чем ожидалось.;0;
336;The fact that [your:t.Possessive,s2] argument was well-structured made a huge difference.;Тот факт, что твой аргумент был хорошо структурирован, сыграл большую роль.;0;
337;Without [your:t.Possessive,s2] advice, I would have made a terrible mistake.;Без твоего совета я бы совершил ужасную ошибку.;0;
338;When [your:t.Possessive,s2] schedule is so packed, how do you find time to relax?;Когда твой график такой плотный, как ты находишь время на отдых?;0;
339;With every passing day, [his:t.Possessive,s3m] confidence in the project continued to grow.;С каждым днём его уверенность в проекте продолжала расти.;0;
340;We were surprised to see that [his:t.Possessive,s3m] proposal had already been accepted.;Мы были удивлены, увидев, что его предложение уже было принято.;0;
341;Without hesitation, [his:t.Possessive,s3m] decision influenced the outcome of the negotiation.;Без колебаний его решение повлияло на исход переговоров.;0;
342;After years of hard work, [his:t.Possessive,s3m] dream of becoming a doctor finally came true.;После многих лет упорной работы его мечта стать врачом наконец сбылась.;0;
343;Since [his:t.Possessive,s3m] arrival, things in the office have become more organized.;С момента его прибытия в офисе всё стало более организованным.;0;
344;Although [his:t.Possessive,s3m] story was interesting, it lacked crucial details.;Хотя его рассказ был интересным, в нём не хватало важных деталей.;0;
345;It's fascinating how much [his:t.Possessive,s3m] perspective has changed over the years.;Удивительно, насколько изменилась его точка зрения за эти годы.;0;
346;Although [her:t.Possessive,s3f] suggestions were controversial, they sparked an interesting discussion.;Хотя её предложения были спорными, они вызвали интересную дискуссию.;0;
347;By the end of the meeting, [her:t.Possessive,s3f] influence on the team was undeniable.;К концу собрания её влияние на команду стало неоспоримым.;0;
348;Everyone in the office noticed that [her:t.Possessive,s3f] enthusiasm was contagious.;Все в офисе заметили, что её энтузиазм был заразительным.;0;
349;If you look closely, [her:t.Possessive,s3f] painting reveals an impressive level of detail.;Если присмотреться, её картина раскрывает впечатляющий уровень детализации.;0;
350;Before making a decision, [her:t.Possessive,s3f] team conducted thorough research.;Перед принятием решения её команда провела тщательное исследование.;0;
351;The moment [her:t.Possessive,s3f] name was mentioned, everyone turned to listen.;В тот момент, когда её имя было упомянуто, все обернулись, чтобы послушать.;0;
352;Despite [her:t.Possessive,s3f] warnings, they continued with their risky plan.;Несмотря на её предупреждения, они продолжили свой рискованный план.;0;
353;After the storm, [its:t.Possessive,s3n] structure remained surprisingly intact despite the strong winds.;После шторма его структура осталась удивительно неповреждённой, несмотря на сильные ветры.;0;
354;Even though the company faced challenges, [its:t.Possessive,s3n] reputation remained solid.;Несмотря на трудности, её репутация осталась прочной.;0;
355;Because of [its:t.Possessive,s3n] design, this bridge can withstand extreme weather conditions.;Благодаря своему дизайну, этот мост может выдерживать экстремальные погодные условия.;0;
356;The new policy is controversial, but [its:t.Possessive,s3n] implementation has already begun.;Новая политика спорна, но её внедрение уже началось.;0;
357;We were amazed by how much [its:t.Possessive,s3n] features had improved in the new version.;Мы были поражены тем, насколько улучшились его характеристики в новой версии.;0;
358;Thanks to [its:t.Possessive,s3n] durability, this product lasts much longer than expected.;Благодаря своей прочности, этот продукт служит намного дольше, чем ожидалось.;0;
359;If [its:t.Possessive,s3n] performance continues to improve, the company will thrive.;Если его производительность продолжит расти, компания будет процветать.;0;
360;Although [our:t.Possessive,p1] team was smaller, we managed to win the competition.;Хотя наша команда была меньше, мы смогли выиграть соревнование.;0;
361;After months of preparation, [our:t.Possessive,p1] project was finally approved by the board.;После нескольких месяцев подготовки наш проект наконец был одобрен советом.;0;
362;It was clear that [our:t.Possessive,p1] approach to solving the issue was the most efficient.;Было очевидно, что наш подход к решению проблемы был самым эффективным.;0;
363;Before we started the journey, [our:t.Possessive,p1] guide explained the safety rules in detail.;Перед тем как мы отправились в путешествие, наш гид подробно объяснил правила безопасности.;0;
364;As a result of [our:t.Possessive,p1] collaboration, the project exceeded all expectations.;В результате нашего сотрудничества проект превзошёл все ожидания.;0;
365;Because of [our:t.Possessive,p1] mistake, the deadline had to be extended.;Из-за нашей ошибки срок пришлось продлить.;0;
366;Ever since [our:t.Possessive,p1] training began, we have become much more confident.;С тех пор как началась наша подготовка, мы стали гораздо увереннее.;0;
367;As soon as the guests arrived, [their:t.Possessive,p3] attention was drawn to the stunning view.;Как только гости прибыли, их внимание привлек потрясающий вид.;0;
368;Even after years of separation, [their:t.Possessive,p3] bond remained as strong as ever.;Даже после многих лет разлуки их связь осталась такой же крепкой.;0;
369;No one expected [their:t.Possessive,p3] reaction to be so emotional.;Никто не ожидал, что их реакция будет такой эмоциональной.;0;
370;Because of [their:t.Possessive,p3] efforts, the event turned out to be a great success.;Благодаря их усилиям мероприятие оказалось большим успехом.;0;
371;Nobody doubted that [their:t.Possessive,p3] decision was the right one in the given situation.;Никто не сомневался, что их решение было верным в данной ситуации.;0;
372;With [their:t.Possessive,p3] support, the organization was able to expand internationally.;С их поддержкой организация смогла выйти на международный уровень.;0;
373;It was difficult to ignore [their:t.Possessive,p3] influence on the final result.;Было трудно игнорировать их влияние на окончательный результат.;0;
# possessive: determiner rules > ставится перед прилагательным
000;I've lost my new keys.[Y:t.Possessive](Y/N);Я потерял свои новые ключи;0;
000;She loves her big dog.[Y:t.Possessive](Y/N);Она любит свою большую собаку;0;
000;We painted our old house.[Y:t.Possessive](Y/N);Мы покрасили наш старый дом;0;
000;They sold their red car.[Y:t.Possessive](Y/N);Они продали свою красную машину;0;
000;He fixed his broken phone.[Y:t.Possessive](Y/N);Он починил свой сломанный телефон;0;
000;I've lost new my keys.[N:t.Possessive](Y/N);"my" должно стоять перед "new": my new keys;0;
000;She loves big her dog.[N:t.Possessive](Y/N);"her" должно стоять перед "big": her big dog;0;
000;We painted old our house.[N:t.Possessive](Y/N);"our" должно стоять перед "old": our old house;0;
000;They sold red their car.[N:t.Possessive](Y/N);"their" должно стоять перед "red": their red car;0;
000;He fixed broken his phone.[N:t.Possessive](Y/N);"his" должно стоять перед "broken": his broken phone;0;
# possessive: determiner rules > исключает употребление артикля и указательных местоимений
000;It is my dog.[Y:t.Possessive](Y/N);Это моя собака;0;
000;That is her bike.[Y:t.Possessive](Y/N);Это её велосипед;0;
000;His idea was interesting.[Y:t.Possessive](Y/N);Его идея была интересной;0;
000;Their apartment is huge.[Y:t.Possessive](Y/N);Их квартира огромная;0;
000;Our teacher is kind.[Y:t.Possessive](Y/N);Наш учитель добрый;0;
000;It is the my dog.[N:t.Possessive](Y/N);*the* и *my* вместе не используются;0;
000;This my friend is a doctor.[N:t.Possessive](Y/N);*this* и *my* вместе не используются;0;
000;A your idea is good.[N:t.Possessive](Y/N);*a* и *your* вместе не используются;0;
000;That her book is on the table.[N:t.Possessive](Y/N);*that* и *her* вместе не используются;0;
000;An our problem remains.[N:t.Possessive](Y/N);*an* и *our* вместе не используются;0;
# possessive: determiner rules > multi-determiners > Possessive + Noun
000;my phone is charging.[Y:t.Possessive](Y/N);мой телефон заряжается;0;
000;her name is Sarah.[Y:t.Possessive](Y/N);её зовут Сара;0;
000;their house is big.[Y:t.Possessive](Y/N);их дом большой;0;
000;our team won.[Y:t.Possessive](Y/N);наша команда победила;0;
000;his car is fast.[Y:t.Possessive](Y/N);его машина быстрая;0;
000;the my phone.[N:t.Possessive](Y/N);"the" и "my" вместе не используются;0;
000;this my name.[N:t.Possessive](Y/N);"this" и "my" вместе не используются;0;
000;a your house.[N:t.Possessive](Y/N);"a" и "your" вместе не используются;0;
000;these their books.[N:t.Possessive](Y/N);"these" и "their" вместе не используются;0;
000;that her idea.[N:t.Possessive](Y/N);"that" и "her" вместе не используются;0;
# possessive: determiner rules > multi-determiners > Possessive + Postdet (число/кол-во) + Noun
000;my two dogs are sleeping.[Y:t.Possessive+Postdet](Y/N);мои две собаки спят;0;
000;his several books are old.[Y:t.Possessive+Postdet](Y/N);несколько его книг старые;0;
000;our many options are open.[Y:t.Possessive+Postdet](Y/N);у нас много открытых вариантов;0;
000;their few ideas were good.[Y:t.Possessive+Postdet](Y/N);немногие их идеи были хороши;0;
000;her three friends arrived.[Y:t.Possessive+Postdet](Y/N);её три друга пришли;0;
000;my the two dogs.[N:t.Possessive+Postdet](Y/N);"my" и "the" вместе не используются;0;
000;some my books.[N:t.Possessive+Postdet](Y/N);"some" не может идти перед "my";0;
000;your all ideas.[N:t.Possessive+Postdet](Y/N);"all" не может идти после "your";0;
000;a our three plans.[N:t.Possessive+Postdet](Y/N);"a" и "our" вместе не используются;0;
000;the his several shirts.[N:t.Possessive+Postdet](Y/N);"the" и "his" вместе не используются;0;
# possessive: determiner rules > multi-determiners > Possessive + Modifier (прилагательное) + Noun
000;her new job is interesting.[Y:t.Possessive+Mod](Y/N);её новая работа интересная;0;
000;their beautiful garden is huge.[Y:t.Possessive+Mod](Y/N);их красивый сад огромен;0;
000;my old shoes are torn.[Y:t.Possessive+Mod](Y/N);мои старые туфли порвались;0;
000;his small apartment is nice.[Y:t.Possessive+Mod](Y/N);его маленькая квартира приятная;0;
000;our main goal is clear.[Y:t.Possessive+Mod](Y/N);наша главная цель ясна;0;
000;a my new job.[N:t.Possessive+Mod](Y/N);"a" и "my" не сочетаются;0;
000;the your beautiful garden.[N:t.Possessive+Mod](Y/N);"the" и "your" не сочетаются;0;
000;this his old shoes.[N:t.Possessive+Mod](Y/N);"this" и "his" не сочетаются;0;
000;that her small house.[N:t.Possessive+Mod](Y/N);"that" и "her" не сочетаются;0;
000;an our main idea.[N:t.Possessive+Mod](Y/N);"an" и "our" не сочетаются;0;
# possessive: determiner rules > multi-determiners > Possessive + Postdet + Modifier + Noun
000;our three best friends are here.[Y:t.Possessive+Postdet+Mod](Y/N);наши три лучших друга здесь;0;
000;his several strange ideas are valid.[Y:t.Possessive+Postdet+Mod](Y/N);несколько его странных идей верны;0;
000;my two new shirts are clean.[Y:t.Possessive+Postdet+Mod](Y/N);мои две новые рубашки чистые;0;
000;their five recent projects failed.[Y:t.Possessive+Postdet+Mod](Y/N);их пять недавних проектов провалились;0;
000;her many difficult tasks are done.[Y:t.Possessive+Postdet+Mod](Y/N);многие её сложные задачи выполнены;0;
000;all our the three best friends.[N:t.Possessive+Postdet+Mod](Y/N);"all" + "our" + "the" недопустимо;0;
000;the his several strange ideas.[N:t.Possessive+Postdet+Mod](Y/N);"the" и "his" не сочетаются;0;
000;some my two new shirts.[N:t.Possessive+Postdet+Mod](Y/N);"some" не может стоять перед "my";0;
000;a their five recent calls.[N:t.Possessive+Postdet+Mod](Y/N);"a" и "their" не сочетаются;0;
000;these her many difficult jobs.[N:t.Possessive+Postdet+Mod](Y/N);"these" и "her" не сочетаются;0;
# possessive: determiner rules > multi-determiners > of + Possessive (особый случай)
