id,category_eng,category_ru,pronoun,pronoun_clean,pronoun_details,ipa,translation,translation_clean,translation_details,number,person,example_eng,example_ru,is_suspicious
0,"Personal Pronouns, subject form","личные местоимения, именительный падеж",I,I,,/aɪ/,я,я,,singular,1,I am here.,Я здесь.,0
1,"Personal Pronouns, subject form","личные местоимения, именительный падеж",I,I,,/aɪ/,я,я,,singular,1,I like coffee.,Мне нравится кофе.,0
2,"Personal Pronouns, subject form","личные местоимения, именительный падеж",I,I,,/aɪ/,я,я,,singular,1,I will call you tomorrow.,Я позвоню тебе завтра.,0
3,"Personal Pronouns, subject form","личные местоимения, именительный падеж",I,I,,/aɪ/,я,я,,singular,1,I don't understand this.,Я этого не понимаю.,0
4,"Personal Pronouns, subject form","личные местоимения, именительный падеж",I,I,,/aɪ/,я,я,,singular,1,I need help.,Мне нужна помощь.,0
5,"Personal Pronouns, subject form","личные местоимения, именительный падеж",you(personal-subject/singular),you,personal-subject/singular,/juː/,ты,ты,,singular,2,You are my friend.,Ты мой друг.,0
6,"Personal Pronouns, subject form","личные местоимения, именительный падеж",you(personal-subject/singular),you,personal-subject/singular,/juː/,ты,ты,,singular,2,You can do it.,Ты можешь это сделать.,0
7,"Personal Pronouns, subject form","личные местоимения, именительный падеж",you(personal-subject/singular),you,personal-subject/singular,/juː/,ты,ты,,singular,2,You look tired.,Ты выглядишь уставшим.,0
8,"Personal Pronouns, subject form","личные местоимения, именительный падеж",you(personal-subject/singular),you,personal-subject/singular,/juː/,ты,ты,,singular,2,Are you coming with us?,Ты пойдёшь с нами?,0
9,"Personal Pronouns, subject form","личные местоимения, именительный падеж",you(personal-subject/singular),you,personal-subject/singular,/juː/,ты,ты,,singular,2,You forgot your keys.,Ты забыл свои ключи.,0
10,"Personal Pronouns, subject form","личные местоимения, именительный падеж",he,he,,/hiː/,он,он,,singular,3,He is a teacher.,Он учитель.,0
11,"Personal Pronouns, subject form","личные местоимения, именительный падеж",he,he,,/hiː/,он,он,,singular,3,He works every day.,Он работает каждый день.,0
12,"Personal Pronouns, subject form","личные местоимения, именительный падеж",he,he,,/hiː/,он,он,,singular,3,He likes pizza.,Он любит пиццу.,0
13,"Personal Pronouns, subject form","личные местоимения, именительный падеж",he,he,,/hiː/,он,он,,singular,3,He will help you.,Он поможет тебе.,0
14,"Personal Pronouns, subject form","личные местоимения, именительный падеж",he,he,,/hiː/,он,он,,singular,3,He went to the store.,Он пошел в магазин.,0
15,"Personal Pronouns, subject form","личные местоимения, именительный падеж",she,she,,/ʃiː/,она,она,,singular,3,She loves coffee.,Она любит кофе.,0
16,"Personal Pronouns, subject form","личные местоимения, именительный падеж",she,she,,/ʃiː/,она,она,,singular,3,She is very kind.,Она очень добрая.,0
17,"Personal Pronouns, subject form","личные местоимения, именительный падеж",she,she,,/ʃiː/,она,она,,singular,3,She told me the truth.,Она сказала мне правду.,0
18,"Personal Pronouns, subject form","личные местоимения, именительный падеж",she,she,,/ʃiː/,она,она,,singular,3,She is reading a book.,Она читает книгу.,0
19,"Personal Pronouns, subject form","личные местоимения, именительный падеж",she,she,,/ʃiː/,она,она,,singular,3,She lives nearby.,Она живёт рядом.,0
20,"Personal Pronouns, subject form","личные местоимения, именительный падеж",it(personal-subject),it,personal-subject,/ɪt/,оно,оно,,singular,3,It is raining.,Идёт дождь.,0
21,"Personal Pronouns, subject form","личные местоимения, именительный падеж",it(personal-subject),it,personal-subject,/ɪt/,оно,оно,,singular,3,It looks delicious.,Оно выглядит вкусно.,0
22,"Personal Pronouns, subject form","личные местоимения, именительный падеж",it(personal-subject),it,personal-subject,/ɪt/,оно,оно,,singular,3,It is very expensive.,Оно очень дорого.,0
23,"Personal Pronouns, subject form","личные местоимения, именительный падеж",it(personal-subject),it,personal-subject,/ɪt/,оно,оно,,singular,3,I found it in the drawer.,Я нашел это в ящике.,0
24,"Personal Pronouns, subject form","личные местоимения, именительный падеж",it(personal-subject),it,personal-subject,/ɪt/,оно,оно,,singular,3,It is a good idea.,Это хорошая идея.,0
25,"Personal Pronouns, subject form","личные местоимения, именительный падеж",we,we,,/wiː/,мы,мы,,plural,1,We are happy.,Мы счастливы.,0
26,"Personal Pronouns, subject form","личные местоимения, именительный падеж",we,we,,/wiː/,мы,мы,,plural,1,We will meet tomorrow.,Мы встретимся завтра.,0
27,"Personal Pronouns, subject form","личные местоимения, именительный падеж",we,we,,/wiː/,мы,мы,,plural,1,We like this place.,Нам нравится это место.,0
28,"Personal Pronouns, subject form","личные местоимения, именительный падеж",we,we,,/wiː/,мы,мы,,plural,1,We are going to the park.,Мы идём в парк.,0
29,"Personal Pronouns, subject form","личные местоимения, именительный падеж",we,we,,/wiː/,мы,мы,,plural,1,We need more time.,Нам нужно больше времени.,0
30,"Personal Pronouns, subject form","личные местоимения, именительный падеж",you (personal-subject/plural),you,personal-subject/plural,/juː/,вы,вы,,plural,2,You are welcome here.,Вы здесь желанны.,0
31,"Personal Pronouns, subject form","личные местоимения, именительный падеж",you (personal-subject/plural),you,personal-subject/plural,/juː/,вы,вы,,plural,2,You should try this.,Вы должны попробовать это.,0
32,"Personal Pronouns, subject form","личные местоимения, именительный падеж",you (personal-subject/plural),you,personal-subject/plural,/juː/,вы,вы,,plural,2,You are very polite.,Вы очень вежливы.,0
33,"Personal Pronouns, subject form","личные местоимения, именительный падеж",you (personal-subject/plural),you,personal-subject/plural,/juː/,вы,вы,,plural,2,Are you ready for the meeting?,Вы готовы к встрече?,0
34,"Personal Pronouns, subject form","личные местоимения, именительный падеж",you (personal-subject/plural),you,personal-subject/plural,/juː/,вы,вы,,plural,2,You did a great job.,Вы отлично справились.,0
35,"Personal Pronouns, subject form","личные местоимения, именительный падеж",they,they,,/ðeɪ/,они,они,,plural,3,They are coming.,Они идут.,0
36,"Personal Pronouns, subject form","личные местоимения, именительный падеж",they,they,,/ðeɪ/,они,они,,plural,3,They work together.,Они работают вместе.,0
37,"Personal Pronouns, subject form","личные местоимения, именительный падеж",they,they,,/ðeɪ/,они,они,,plural,3,They have a big house.,У них большой дом.,0
38,"Personal Pronouns, subject form","личные местоимения, именительный падеж",they,they,,/ðeɪ/,они,они,,plural,3,Are they here yet?,Они уже здесь?,0
39,"Personal Pronouns, subject form","личные местоимения, именительный падеж",they,they,,/ðeɪ/,они,они,,plural,3,They enjoy traveling.,Им нравится путешествовать.,0
40,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me (personal-object/родительный),me,personal-object/родительный,/miː/,меня(п.род.),меня,п.род.,singular,1,He saw me.,Он видел меня.,0
41,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me (personal-object/родительный),me,personal-object/родительный,/miː/,меня(п.род.),меня,п.род.,singular,1,They invited me to the party.,Они пригласили меня на вечеринку.,0
42,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me (personal-object/родительный),me,personal-object/родительный,/miː/,меня(п.род.),меня,п.род.,singular,1,She found me in the garden.,Она нашла меня в саду.,0
43,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me (personal-object/родительный),me,personal-object/родительный,/miː/,меня(п.род.),меня,п.род.,singular,1,The teacher praised me.,Учитель похвалил меня.,0
44,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me (personal-object/родительный),me,personal-object/родительный,/miː/,меня(п.род.),меня,п.род.,singular,1,They accused me of cheating.,Они обвинили меня в обмане.,0
45,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/дательный),me,personal-object/дательный,/miː/,мне,мне,,singular,1,She gave me a gift.,Она дала мне подарок.,0
46,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/дательный),me,personal-object/дательный,/miː/,мне,мне,,singular,1,They sent me a letter.,Они отправили мне письмо.,0
47,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/дательный),me,personal-object/дательный,/miː/,мне,мне,,singular,1,Can you pass me the salt?,Можешь передать мне соль?,0
48,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/дательный),me,personal-object/дательный,/miː/,мне,мне,,singular,1,The book belongs to me.,Эта книга принадлежит мне.,0
49,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/дательный),me,personal-object/дательный,/miː/,мне,мне,,singular,1,Tell me the truth.,Скажи мне правду.,0
50,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/винительный),me,personal-object/винительный,/miː/,меня(п.вин.),меня,п.вин.,singular,1,Please help me.,"Пожалуйста, помоги мне.",0
51,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/винительный),me,personal-object/винительный,/miː/,меня(п.вин.),меня,п.вин.,singular,1,They saw me yesterday.,Они видели меня вчера.,0
52,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/винительный),me,personal-object/винительный,/miː/,меня(п.вин.),меня,п.вин.,singular,1,He invited me to dinner.,Он пригласил меня на ужин.,0
53,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/винительный),me,personal-object/винительный,/miː/,меня(п.вин.),меня,п.вин.,singular,1,She called me last night.,Она звонила мне вчера вечером.,0
54,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/винительный),me,personal-object/винительный,/miː/,меня(п.вин.),меня,п.вин.,singular,1,The dog followed me home.,Собака пошла за мной домой.,0
55,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/творительный),me,personal-object/творительный,/miː/,мной,мной,,singular,1,She is happy with me.,Она счастлива со мной.,0
56,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/творительный),me,personal-object/творительный,/miː/,мной,мной,,singular,1,They worked with me on the project.,Они работали со мной над проектом.,0
57,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/творительный),me,personal-object/творительный,/miː/,мной,мной,,singular,1,The teacher was impressed by me.,Учитель был впечатлён мной.,0
58,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/творительный),me,personal-object/творительный,/miː/,мной,мной,,singular,1,He argued with me about politics.,Он спорил со мной о политике.,0
59,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/творительный),me,personal-object/творительный,/miː/,мной,мной,,singular,1,They danced with me at the party.,Они танцевали со мной на вечеринке.,0
60,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/предложный),me,personal-object/предложный,/miː/,обо мне,обо мне,,singular,1,She always talks about me.,Она всегда говорит обо мне.,0
61,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/предложный),me,personal-object/предложный,/miː/,обо мне,обо мне,,singular,1,What do you think about me?,Что ты думаешь обо мне?,0
62,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/предложный),me,personal-object/предложный,/miː/,обо мне,обо мне,,singular,1,They wrote a story about me.,Они написали историю обо мне.,0
63,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/предложный),me,personal-object/предложный,/miː/,обо мне,обо мне,,singular,1,The article is about me.,Эта статья обо мне.,0
64,"Personal Pronouns, object form","личные местоимения, косвенные падежи",me(personal-object/предложный),me,personal-object/предложный,/miː/,обо мне,обо мне,,singular,1,Don’t worry about me.,Не переживай обо мне.,0
65,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/родительный),you,personal-object/родительный,/juː/,"тебя(п.род.), вас(п.род.)",тебя,"п.род.), вас(п.род.",singular/plural,2,I saw you yesterday.,Я видел тебя вчера.,0
66,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/родительный),you,personal-object/родительный,/juː/,"тебя(п.род.), вас(п.род.)",тебя,"п.род.), вас(п.род.",singular/plural,2,They invited you to the meeting.,Они пригласили вас на встречу.,0
67,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/родительный),you,personal-object/родительный,/juː/,"тебя(п.род.), вас(п.род.)",тебя,"п.род.), вас(п.род.",singular/plural,2,She remembered you from school.,Она вспомнила тебя из школы.,0
68,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/родительный),you,personal-object/родительный,/juː/,"тебя(п.род.), вас(п.род.)",тебя,"п.род.), вас(п.род.",singular/plural,2,They accused you of lying.,Они обвинили тебя во лжи.,0
69,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/родительный),you,personal-object/родительный,/juː/,"тебя(п.род.), вас(п.род.)",тебя,"п.род.), вас(п.род.",singular/plural,2,I need to talk to you.,Мне нужно поговорить с тобой.,0
70,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/дательный),you,personal-object/дательный,/juː/,"тебе, вам","тебе, вам",,singular/plural,2,She gave you a gift.,Она дала тебе подарок.,0
71,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/дательный),you,personal-object/дательный,/juː/,"тебе, вам","тебе, вам",,singular/plural,2,They sent you a letter.,Они отправили вам письмо.,0
72,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/дательный),you,personal-object/дательный,/juː/,"тебе, вам","тебе, вам",,singular/plural,2,Can I show you something?,Могу показать тебе что-то?,0
73,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/дательный),you,personal-object/дательный,/juː/,"тебе, вам","тебе, вам",,singular/plural,2,The book belongs to you.,Эта книга принадлежит вам.,0
74,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/дательный),you,personal-object/дательный,/juː/,"тебе, вам","тебе, вам",,singular/plural,2,Tell you the truth.,Скажи тебе правду.,0
75,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/винительный),you,personal-object/винительный,/juː/,"тебя(п.вин.), вас(п.вин.)",тебя,"п.вин.), вас(п.вин.",singular/plural,2,Please help you with the project.,"Пожалуйста, помоги тебе с проектом.",0
76,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/винительный),you,personal-object/винительный,/juː/,"тебя(п.вин.), вас(п.вин.)",тебя,"п.вин.), вас(п.вин.",singular/plural,2,They saw you at the party.,Они видели вас на вечеринке.,0
77,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/винительный),you,personal-object/винительный,/juː/,"тебя(п.вин.), вас(п.вин.)",тебя,"п.вин.), вас(п.вин.",singular/plural,2,She called you last night.,Она звонила тебе вчера вечером.,0
78,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/винительный),you,personal-object/винительный,/juː/,"тебя(п.вин.), вас(п.вин.)",тебя,"п.вин.), вас(п.вин.",singular/plural,2,He invited you to dinner.,Он пригласил тебя на ужин.,0
79,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/винительный),you,personal-object/винительный,/juː/,"тебя(п.вин.), вас(п.вин.)",тебя,"п.вин.), вас(п.вин.",singular/plural,2,I trust you.,Я доверяю тебе.,0
80,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/творительный),you,personal-object/творительный,/juː/,"тобой, вами","тобой, вами",,singular/plural,2,They worked with you on the project.,Они работали с тобой над проектом.,0
81,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/творительный),you,personal-object/творительный,/juː/,"тобой, вами","тобой, вами",,singular/plural,2,She danced with you at the party.,Она танцевала с вами на вечеринке.,0
82,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/творительный),you,personal-object/творительный,/juː/,"тобой, вами","тобой, вами",,singular/plural,2,The teacher was impressed by you.,Учитель был впечатлён тобой.,0
83,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/творительный),you,personal-object/творительный,/juː/,"тобой, вами","тобой, вами",,singular/plural,2,He argued with you about politics.,Он спорил с тобой о политике.,0
84,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/творительный),you,personal-object/творительный,/juː/,"тобой, вами","тобой, вами",,singular/plural,2,They traveled with you last summer.,Они путешествовали с тобой прошлым летом.,0
85,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/предложный),you,personal-object/предложный,/juː/,"о тебе, о вас","о тебе, о вас",,singular/plural,2,They talked about you yesterday.,Они говорили о тебе вчера.,0
86,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/предложный),you,personal-object/предложный,/juː/,"о тебе, о вас","о тебе, о вас",,singular/plural,2,The story is about you.,История о тебе.,0
87,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/предложный),you,personal-object/предложный,/juː/,"о тебе, о вас","о тебе, о вас",,singular/plural,2,She always thinks about you.,Она всегда думает о тебе.,0
88,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/предложный),you,personal-object/предложный,/juː/,"о тебе, о вас","о тебе, о вас",,singular/plural,2,Don’t worry about you.,Не переживай о тебе.,0
89,"Personal Pronouns, object form","личные местоимения, косвенные падежи",you(personal-object/предложный),you,personal-object/предложный,/juː/,"о тебе, о вас","о тебе, о вас",,singular/plural,2,What do you know about yourself?,Что ты знаешь о тебе?,0
90,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/родительный),him,personal-object/родительный,/hɪm/,его(m./п.род.),его,m./п.род.,singular,3,I saw him at the park.,Я видел его в парке.,0
91,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/родительный),him,personal-object/родительный,/hɪm/,его(m./п.род.),его,m./п.род.,singular,3,They accused him of lying.,Они обвинили его во лжи.,0
92,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/родительный),him,personal-object/родительный,/hɪm/,его(m./п.род.),его,m./п.род.,singular,3,She found him sleeping.,Она нашла его спящим.,0
93,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/родительный),him,personal-object/родительный,/hɪm/,его(m./п.род.),его,m./п.род.,singular,3,The teacher praised him for his work.,Учитель похвалил его за работу.,0
94,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/родительный),him,personal-object/родительный,/hɪm/,его(m./п.род.),его,m./п.род.,singular,3,I met him yesterday.,Я встретил его вчера.,0
95,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/дательный),him,personal-object/дательный,/hɪm/,ему(m.),ему,m.,singular,3,She gave him a gift.,Она дала ему подарок.,0
96,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/дательный),him,personal-object/дательный,/hɪm/,ему(m.),ему,m.,singular,3,They sent him a letter.,Они отправили ему письмо.,0
97,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/дательный),him,personal-object/дательный,/hɪm/,ему(m.),ему,m.,singular,3,Can you show him the way?,Можешь показать ему дорогу?,0
98,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/дательный),him,personal-object/дательный,/hɪm/,ему(m.),ему,m.,singular,3,The dog belongs to him.,Собака принадлежит ему.,0
99,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/дательный),him,personal-object/дательный,/hɪm/,ему(m.),ему,m.,singular,3,Tell him the truth.,Скажи ему правду.,0
100,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/винительный),him,personal-object/винительный,/hɪm/,его(m./п.вин.),его,m./п.вин.,singular,3,They invited him to the meeting.,Они пригласили его на встречу.,0
101,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/винительный),him,personal-object/винительный,/hɪm/,его(m./п.вин.),его,m./п.вин.,singular,3,She called him yesterday.,Она звонила ему вчера.,0
102,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/винительный),him,personal-object/винительный,/hɪm/,его(m./п.вин.),его,m./п.вин.,singular,3,The dog followed him home.,Собака пошла за ним домой.,0
103,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/винительный),him,personal-object/винительный,/hɪm/,его(m./п.вин.),его,m./п.вин.,singular,3,Please help him with his project.,"Пожалуйста, помогите ему с его проектом.",0
104,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/винительный),him,personal-object/винительный,/hɪm/,его(m./п.вин.),его,m./п.вин.,singular,3,I don't trust him.,Я не доверяю ему.,0
105,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/творительный),him,personal-object/творительный,/hɪm/,им(п.тв/m.),им,п.тв/m.,singular,3,They worked with him on the project.,Они работали с ним над проектом.,0
106,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/творительный),him,personal-object/творительный,/hɪm/,им(п.тв/m.),им,п.тв/m.,singular,3,She danced with him at the party.,Она танцевала с ним на вечеринке.,0
107,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/творительный),him,personal-object/творительный,/hɪm/,им(п.тв/m.),им,п.тв/m.,singular,3,The teacher was impressed by him.,Учитель был впечатлён им.,0
108,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/творительный),him,personal-object/творительный,/hɪm/,им(п.тв/m.),им,п.тв/m.,singular,3,He argued with him about politics.,Он спорил с ним о политике.,0
109,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/творительный),him,personal-object/творительный,/hɪm/,им(п.тв/m.),им,п.тв/m.,singular,3,They traveled with him last summer.,Они путешествовали с ним прошлым летом.,0
110,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/предложный),him,personal-object/предложный,/hɪm/,о нём(m.),о нём,m.,singular,3,They talked about him yesterday.,Они говорили о нём вчера.,0
111,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/предложный),him,personal-object/предложный,/hɪm/,о нём(m.),о нём,m.,singular,3,The story is about him.,История о нём.,0
112,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/предложный),him,personal-object/предложный,/hɪm/,о нём(m.),о нём,m.,singular,3,She always thinks about him.,Она всегда думает о нём.,0
113,"Personal Pronouns, object form","личные местоимения, косвенные падежи",him(personal-object/предложный),him,personal-object/предложный,/hɪm/,о нём(m.),о нём,m.,singular,3,Don’t worry about him.,Не переживай о нём.,0
